timestamp,pH,temperature_C,chloride_ppm,dissolved_oxygen_mgL,flow_velocity_mps,corrosion_rate_mm_per_yr
2025-07-01 00:00:00,7.8,23.52,216,7.83,0.538,0.0366
2025-07-01 01:00:00,7.42,27.57,189,7.29,0.644,0.0283
2025-07-01 02:00:00,7.89,27.7,241,7.46,0.65,0.0527
2025-07-01 03:00:00,8.41,28.76,89,7.09,0.915,0.0461
2025-07-01 04:00:00,7.36,30.9,212,7.54,1.441,0.0435
2025-07-01 05:00:00,7.36,30.21,239,7.2,0.656,0.0314
2025-07-01 06:00:00,8.45,31.17,126,7.62,0.722,0.0497
2025-07-01 07:00:00,7.96,29.96,257,6.82,0.637,0.038
2025-07-01 08:00:00,7.22,34.01,217,7.44,0.511,0.0371
2025-07-01 09:00:00,7.83,30.0,179,8.02,0.639,0.0592
2025-07-01 10:00:00,7.22,27.45,232,6.81,1.937,0.0303
2025-07-01 11:00:00,7.22,27.13,314,8.02,0.395,0.0261
2025-07-01 12:00:00,7.65,24.83,209,8.63,1.378,0.0568
2025-07-01 13:00:00,6.35,22.86,212,7.57,0.46,0.0231
2025-07-01 14:00:00,6.47,22.42,177,9.04,0.839,0.0252
2025-07-01 15:00:00,7.16,21.19,158,8.51,0.295,0.0305
2025-07-01 16:00:00,6.89,18.14,242,8.2,0.488,0.022
2025-07-01 17:00:00,7.69,17.37,157,8.58,1.616,0.0488
2025-07-01 18:00:00,6.96,17.59,204,8.87,1.654,0.0347
2025-07-01 19:00:00,6.65,14.79,176,8.86,0.587,0.02
2025-07-01 20:00:00,4.22,16.67,224,8.94,0.489,0.06
2025-07-01 21:00:00,7.36,22.1,217,7.77,0.976,0.0292
2025-07-01 22:00:00,7.54,23.97,252,8.17,1.076,0.045
2025-07-01 23:00:00,6.65,22.81,1004,7.47,0.16,0.0403
2025-07-02 00:00:00,3.19,25.86,187,7.88,0.688,0.0978
2025-07-02 01:00:00,4.29,27.28,151,7.37,0.5,0.0575
2025-07-02 02:00:00,6.81,33.12,178,6.98,0.396,0.0306
2025-07-02 03:00:00,7.73,31.63,219,8.09,0.742,0.041
2025-07-02 04:00:00,7.14,30.87,238,8.08,0.649,0.0415
2025-07-02 05:00:00,7.32,30.33,154,7.88,0.857,0.0333
2025-07-02 06:00:00,7.14,29.59,243,7.09,0.344,0.045
2025-07-02 07:00:00,8.61,32.07,268,7.28,0.774,0.0682
2025-07-02 08:00:00,7.49,29.93,221,8.21,1.858,0.0466
2025-07-02 09:00:00,4.03,27.82,294,7.85,0.58,0.064
2025-07-02 10:00:00,3.96,27.53,161,8.96,1.632,0.0578
2025-07-02 11:00:00,6.77,25.19,138,8.18,0.386,0.0215
2025-07-02 12:00:00,7.63,27.53,111,7.89,0.295,0.0391
2025-07-02 13:00:00,6.32,24.51,275,7.88,1.197,0.0283
2025-07-02 14:00:00,6.7,21.49,970,8.35,0.591,0.0377
2025-07-02 15:00:00,4.66,22.27,197,8.14,0.649,0.04
2025-07-02 16:00:00,5.26,19.05,214,8.83,0.552,0.0342
2025-07-02 17:00:00,7.6,16.95,144,9.12,0.67,0.0336
2025-07-02 18:00:00,7.43,20.28,322,7.98,0.35,0.0363
2025-07-02 19:00:00,7.32,19.05,891,7.81,0.889,0.0417
2025-07-02 20:00:00,6.61,17.38,205,7.69,1.66,0.0204
2025-07-02 21:00:00,3.85,19.76,236,8.67,0.823,0.0766
2025-07-02 22:00:00,7.22,20.19,224,7.83,0.669,0.0266
2025-07-02 23:00:00,8.13,21.11,211,7.23,0.691,0.0358
2025-07-03 00:00:00,7.71,26.39,160,8.08,0.714,0.048
2025-07-03 01:00:00,6.44,29.68,224,8.87,0.69,0.0384
2025-07-03 02:00:00,7.69,26.4,294,7.88,1.549,0.0525
2025-07-03 03:00:00,7.27,30.79,267,7.96,0.866,0.0622
2025-07-03 04:00:00,7.09,30.09,280,7.63,0.639,0.0329
2025-07-03 05:00:00,7.87,31.03,1032,7.47,0.742,0.0969
2025-07-03 06:00:00,8.12,31.11,151,7.97,0.582,0.0485
2025-07-03 07:00:00,8.06,30.47,194,7.42,0.888,0.0515
2025-07-03 08:00:00,7.0,31.13,203,7.64,0.465,0.0436
2025-07-03 09:00:00,7.31,28.7,255,7.86,0.96,0.044
2025-07-03 10:00:00,7.7,28.91,115,7.35,0.592,0.039
2025-07-03 11:00:00,8.09,26.74,997,8.36,0.314,0.0899
2025-07-03 12:00:00,7.21,24.64,192,7.94,0.626,0.0289
2025-07-03 13:00:00,7.39,21.83,179,7.88,0.464,0.0242
2025-07-03 14:00:00,6.84,20.63,149,8.62,0.768,0.0219
2025-07-03 15:00:00,6.78,21.18,117,7.86,0.469,0.0158
2025-07-03 16:00:00,7.99,19.69,241,8.44,0.511,0.0533
2025-07-03 17:00:00,8.31,16.77,204,8.65,0.222,0.0281
2025-07-03 18:00:00,7.46,18.15,136,9.09,0.51,0.0266
2025-07-03 19:00:00,8.1,19.37,135,8.69,0.115,0.0284
2025-07-03 20:00:00,10.0,16.43,183,8.67,0.283,0.0579
2025-07-03 21:00:00,7.11,20.87,283,8.74,0.752,0.0373
2025-07-03 22:00:00,4.99,20.51,187,9.05,0.757,0.0382
2025-07-03 23:00:00,8.42,24.04,125,8.36,1.549,0.0478
2025-07-04 00:00:00,7.48,23.86,188,8.1,0.407,0.03
2025-07-04 01:00:00,8.44,24.1,186,7.42,0.59,0.0469
2025-07-04 02:00:00,5.93,26.06,65,7.38,0.599,0.0221
2025-07-04 03:00:00,7.99,30.02,197,7.45,0.368,0.0558
2025-07-04 04:00:00,7.55,31.45,188,7.18,0.901,0.0448
2025-07-04 05:00:00,7.32,30.41,1085,7.47,1.848,0.0934
2025-07-04 06:00:00,7.56,32.96,292,7.39,0.556,0.0501
2025-07-04 07:00:00,6.31,29.27,256,7.92,0.605,0.0394
2025-07-04 08:00:00,7.37,30.96,187,7.49,0.642,0.0382
2025-07-04 09:00:00,7.71,28.13,145,7.99,1.1,0.0332
2025-07-04 10:00:00,4.38,27.52,329,7.83,0.551,0.0558
2025-07-04 11:00:00,10.43,26.88,203,6.86,0.464,0.0582
2025-07-04 12:00:00,4.65,23.71,201,7.63,0.4,0.0311
2025-07-04 13:00:00,7.2,22.61,199,8.12,0.544,0.0322
2025-07-04 14:00:00,8.05,23.01,210,7.55,1.479,0.056
2025-07-04 15:00:00,4.51,19.18,193,8.77,1.878,0.0456
2025-07-04 16:00:00,7.18,20.19,171,9.15,0.486,0.0296
2025-07-04 17:00:00,11.68,16.54,173,9.29,1.376,0.058
2025-07-04 18:00:00,10.68,18.79,198,8.39,0.88,0.0637
2025-07-04 19:00:00,4.51,20.4,173,9.11,1.764,0.0749
2025-07-04 20:00:00,7.08,15.23,164,8.86,0.612,0.0264
2025-07-04 21:00:00,7.3,18.85,205,8.32,0.471,0.0196
2025-07-04 22:00:00,4.84,22.37,187,7.9,0.74,0.0382
2025-07-04 23:00:00,6.62,22.88,275,8.02,0.679,0.0307
2025-07-05 00:00:00,7.68,25.56,67,7.76,0.779,0.0413
2025-07-05 01:00:00,7.66,25.91,255,8.01,0.727,0.0452
2025-07-05 02:00:00,4.09,28.63,262,7.79,0.81,0.061
2025-07-05 03:00:00,7.36,29.72,96,7.62,0.493,0.0254
2025-07-05 04:00:00,6.65,32.81,183,7.59,0.863,0.0337
2025-07-05 05:00:00,7.25,32.14,181,8.02,0.64,0.0329
2025-07-05 06:00:00,7.29,32.51,1090,7.87,1.778,0.0797
2025-07-05 07:00:00,10.84,31.14,161,6.77,0.462,0.0693
2025-07-05 08:00:00,7.4,30.33,1152,6.3,0.947,0.0926
2025-07-05 09:00:00,7.74,29.3,288,8.12,0.64,0.0497
2025-07-05 10:00:00,4.36,29.09,247,6.99,1.462,0.0452
2025-07-05 11:00:00,7.6,26.18,264,7.79,0.503,0.0402
2025-07-05 12:00:00,7.65,25.43,236,7.38,0.536,0.0436
2025-07-05 13:00:00,7.46,26.3,144,6.99,0.685,0.0277
2025-07-05 14:00:00,6.35,22.81,174,8.45,1.487,0.0294
2025-07-05 15:00:00,7.48,19.56,224,8.81,0.485,0.0309
2025-07-05 16:00:00,7.54,20.74,139,8.05,0.595,0.0251
2025-07-05 17:00:00,8.98,17.63,236,7.29,1.028,0.0587
2025-07-05 18:00:00,4.78,14.94,188,8.53,2.081,0.0348
2025-07-05 19:00:00,4.6,16.73,181,8.86,0.687,0.0363
2025-07-05 20:00:00,7.48,16.13,236,7.97,0.608,0.0233
2025-07-05 21:00:00,6.8,19.52,1134,8.53,1.75,0.0544
2025-07-05 22:00:00,8.19,21.53,1079,8.27,0.723,0.0884
2025-07-05 23:00:00,7.95,25.7,258,8.23,0.395,0.0388
